id,region,title,description,images,label
7564055672,tippecanoe,Vintage 1970's Bed Comforter,Vintage 1970's Bed Comforter,"['https://images.craigslist.org/00e0e_5Iyea5s9xnrz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00q0q_aLHsoKlClPPz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/01313_k6ZTjnqjEfvz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00b0b_jMnVdXUlwgbz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/01414_j2Px3vSgOcrz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00E0E_gMxufZJmtfwz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00d0d_3iHneYN32Zlz_0CI0t2_600x450.jpg']"
7563711121,tippecanoe,TV Stand with storage below,TV Stand with storage below,"['https://images.craigslist.org/00E0E_inMuUWkYf4Oz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00W0W_e3uxzfGLUUzz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00505_jVmDBtDdCnjz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00V0V_4bnPNRwcjixz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00s0s_8kA3Aq1ybTAz_0CI0t2_600x450.jpg']"
7563712483,tippecanoe,"60"" card table","60"" card table",[]
7563947631,tippecanoe,"84"" Floral Decorative Window Valance with steel frame","84"" Floral Decorative Window Valance with steel frame, ready to screw to the wall, it was purchased for display purposes in a model home, the model has sold and everything must go. It is a very nice piece. Ideal for a sliding glass door or large window. If this ad is up I still have it for sale. Cash Only!",[]
7564741025,tippecanoe,Furniture / sectional,7 piece reclining sectional with 3 recliners 2 cupholders..can sets up to 8 people very roomy! Durable fabric easy to clean. Smoke free home,"['https://images.craigslist.org/01717_vYMUu3t6rmz_0uY0Fi_600x450.jpg', 'https://images.craigslist.org/00404_hM2sQxdKwBfz_0uY0Fi_600x450.jpg']"
7564716075,tippecanoe,Love seat w/ recliner,This faux leather love seat is in a decent shape. The upholstery on the back is damaged but the seat is fine. There is storage in both the arms and in the middle along with 2 cup holders. ,"['https://images.craigslist.org/01515_1WBeEG4zdSqz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00l0l_6n0hZw3zH06z_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00v0v_74xJ6rcEIdz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00B0B_8CaseCYSbLuz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00b0b_ffe4duGJHqgz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00707_fu1xoVTZeOMz_0CI0t2_600x450.jpg']"
7561112496,tippecanoe,Kitchen table with 4 spring back chairs,Nice shape oval table comes with a 12 inch leaf. 47 inches long with out the leaf 30 inches tall & 35 1/2 wide.,"['https://images.craigslist.org/00f0f_ahgrnW96uYiz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00101_eIwkvvD2n0dz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00b0b_bsbQWxoB5IDz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00J0J_2HHmuWdsi64z_0t20CI_600x450.jpg', 'https://images.craigslist.org/01616_IHz2u9G28az_0t20CI_600x450.jpg', 'https://images.craigslist.org/00c0c_cY4nLqp9sAQz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00I0I_a5585opOcm9z_0q10t2_600x450.jpg', 'https://images.craigslist.org/00A0A_icc4ENa2jOYz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00o0o_8JTekuRIaGez_0t20CI_600x450.jpg']"
7564679466,tippecanoe,cast iron & wood bench,"This a solid bench. We took it all apart, sanded the cast iron pieces & repainted them, put all new wood on it with new bolts. My wife burned the wood then clear coated & water proofed each piece. A lot of time went into rebuilding this bench. It is solid & it is heavy. Beautiful piece!","['https://images.craigslist.org/00p0p_fifPKuLXFKaz_0hr0CI_600x450.jpg', 'https://images.craigslist.org/00g0g_s0C96IMdoRz_0hr0CI_600x450.jpg', 'https://images.craigslist.org/00g0g_s0C96IMdoRz_0hr0CI_600x450.jpg']"
7564559773,tippecanoe,Free recliner,Free recliner. Does not turn or rock. I’m pretty good condition. Downsizing and don’t have room for it. ,"['https://images.craigslist.org/00m0m_dwhpkNwBig3z_0t20CI_600x450.jpg', 'https://images.craigslist.org/00101_gIWfZ44nEf2z_0t20CI_600x450.jpg']"
7564374470,tippecanoe,Article brass coffee table,Brand new Article brass coffee table; $299 or best offer.,[]
7564311178,tippecanoe,Wooden Table W/ Chairs,Round wooden table with chairs. 3 chairs of the same style and 1 odd. Extender included. Very good condition.,"['https://images.craigslist.org/00d0d_5v2y0D5aRi7z_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00Z0Z_8j0A8u951wSz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00M0M_gI0MzZJFEyIz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00x0x_jIi5u6yr736z_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00s0s_6prCxzGOjwKz_0CI0t2_600x450.jpg']"
7564310928,tippecanoe,Rug 8 x 10,Nice rug. Been in storage.,"['https://images.craigslist.org/00s0s_lzBFkiJQNqKz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00X0X_dftl1WLfWRQz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00V0V_d98PVAaI5fOz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/01010_n7ymu5Fnuzz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00Z0Z_3epGrsg3h2hz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00505_9Z09zIFiDGbz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00v0v_ibOWoIlTsHez_0CI0t2_600x450.jpg']"
7555755456,tippecanoe,Metal Bed Frame-Adjustable,HD Adjustable Metal Bed Frame on Wheels. Black.,"['https://images.craigslist.org/00606_jBvtOwoT6Stz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00A0A_4949b1OkX7fz_0t20CI_600x450.jpg']"
7562569898,tippecanoe,"Lighting Chandeliers,Bar/Pool Table","Three Lights, One Chandeliers quite ornate. Two New in Box. Worth $200 +","['https://images.craigslist.org/01717_4VsRUI4SsrGz_0x20oM_600x450.jpg', 'https://images.craigslist.org/00B0B_bOZhbS2cmJFz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00T0T_184jRDEIQXgz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00909_aCFxnEJKi8qz_0x20oM_600x450.jpg', 'https://images.craigslist.org/00p0p_1zHL6gCBrP9z_0x20oM_600x450.jpg', 'https://images.craigslist.org/00Z0Z_bbNs4KwATPKz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00v0v_bg6Cm5kTaOLz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00L0L_gQ1R3DB3xhAz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00707_c6jwZWxM3n2z_0x20oM_600x450.jpg', 'https://images.craigslist.org/00000_cZXmTrHwayiz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00N0N_8QRPUBPguIPz_0x20oM_600x450.jpg', 'https://images.craigslist.org/01111_8XaRxSuSNWwz_0x20oM_600x450.jpg']"
7562569945,tippecanoe,Two-Clothes/Hat Racks,"Metal all White Rack, One Vintage all Wood Rack with Round Shelf.","['https://images.craigslist.org/01010_4Gw1WmNc5uJz_0lM0t2_600x450.jpg', 'https://images.craigslist.org/00r0r_8pahaSTUVhHz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00202_1pryp9ASEVvz_0t20CI_600x450.jpg', 'https://images.craigslist.org/01717_3DtngbVtOKuz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00T0T_jTgewPHxzj2z_0t20CI_600x450.jpg', 'https://images.craigslist.org/00101_4teJC0Wkkpfz_0t20CI_600x450.jpg']"
7562707308,tippecanoe,Fine Italian Modern Chairs with Leather Seats (6),"Italian Made Chairs Black Lacquered Six each. Fine Leather Tops, Two Are Arm Chairs. Elegant Set. Three have cosmetic scratches.","['https://images.craigslist.org/00101_hPqYeNzux7Rz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00s0s_hbI25rsI3adz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00n0n_1RgAm7o4oR3z_0t20CI_600x450.jpg', 'https://images.craigslist.org/00S0S_fXCYs3EPBRSz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00I0I_4nJmCFT14Abz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00x0x_fOaSTnwj93Mz_0t20CI_600x450.jpg', 'https://images.craigslist.org/01515_3K3qDhCbjTmz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00h0h_kVZNAUUOHHgz_0CI0t2_600x450.jpg']"
7564201699,tippecanoe,1950’s formica table with 4 re-covered chairs and 1 leaf,"Chairs were professionally recovered in red glitter vinyl with upholstery nails on back. Table is red and light grey formica with floral pattern and aluminum apron. Table has a slight, partial burn mark in one corner, see photo. Chrome has some rust. Only two owners, me and my great aunt. ","['https://images.craigslist.org/00w0w_eBwPBtNtqjIz_04c04c_600x450.jpg', 'https://images.craigslist.org/00y0y_7FpZZYAmC29z_04d04d_600x450.jpg', 'https://images.craigslist.org/00d0d_a0rGFU2q8B4z_04d04d_600x450.jpg', 'https://images.craigslist.org/00u0u_pq4tzGoSyKz_04d04d_600x450.jpg', 'https://images.craigslist.org/00C0C_gKQHcWef3UZz_04d04d_600x450.jpg', 'https://images.craigslist.org/00r0r_8hvyvYCgJEFz_04d04d_600x450.jpg']"
7564199592,tippecanoe,Wood - Framed Vanity,"Wood Vanity, cherry finish, might be cherry, 36” wide x 32” high. Nice piece","['https://images.craigslist.org/00909_4Z2jBXjYXanz_04d04d_600x450.jpg', 'https://images.craigslist.org/00e0e_63rtDSBcNjgz_04d04d_600x450.jpg']"
7557212024,tippecanoe,queen bed by Pulaski,Box included.,"['https://images.craigslist.org/00C0C_cjMfrms3rmwz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00p0p_ePlK6dZANjdz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00Q0Q_a1sb6PLSngzz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00y0y_bIz7RIhDdSqz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00R0R_7zTxl2aHl8Iz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00n0n_ktvBzknUcV3z_0t20CI_600x450.jpg']"
7554243317,tippecanoe,full body mirror,Big full body mirror with detailed wooden frame,"['https://images.craigslist.org/00s0s_ehUov9Sjy0Lz_0t30CI_600x450.jpg', 'https://images.craigslist.org/00B0B_7l5TyZLWEPwz_0t20CI_600x450.jpg', 'https://images.craigslist.org/00Q0Q_5UPSltGnYihz_0t20CI_600x450.jpg']"
7564027514,tippecanoe,Queen Sleeper,Got a very nice Queen Sleep with wood for sale!,"['https://images.craigslist.org/00W0W_1iObRSDpeewz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00n0n_66jxzZPN19uz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/01111_69LPjHqU4Raz_0CI0t2_600x450.jpg']"
7559228963,tippecanoe,MCM Vintage Retro Patio set - Make offer,"These are awesome XL and comfy, 2 of these recline, these are old and built well, not sure if aluminum or galvanized, only a tiny bit of surface rust in a couple spots, cushion NOT included these are HEAVY DUTY","['https://images.craigslist.org/00U0U_ksLu1k4Z0tZz_08I08I_600x450.jpg', 'https://images.craigslist.org/00f0f_jTi0BVbER4sz_08I08I_600x450.jpg', 'https://images.craigslist.org/00e0e_8aw6VfRNmK6z_08I08I_600x450.jpg', 'https://images.craigslist.org/00A0A_hqbE9HXuNgZz_08I08I_600x450.jpg']"
7560598356,tippecanoe,Article brass coffee table,Brand new Article brass coffee table; $299 or best offer.,[]
7554917982,tippecanoe,Article brass coffee table,Brand new Article brass coffee table; $299 or best offer.,[]
7563686332,tippecanoe,Article brass coffee table,Brand new Article brass coffee table; $299 or best offer.,[]
7559719640,tippecanoe,Midcentury Cherry Cabinet,"Stunning, beautifully finished cherry console cabinet. Midcentury. Asking for $95.00 If you like fine furniture or cherry then this is a great buy. This piece is very versatile for its placement in the home or office.  Can complement any decor.",[]
7559749401,tippecanoe,Midcentury Cherry Cabinet,"Stunning, beautifully finished cherry console cabinet. Midcentury. Asking for $95.00 If you like fine furniture or cherry then this is a great buy. This piece is very versatile for its placement in the home or office.  Can complement any decor.",[]
